x,z
1,25
2,25
3,25
4,25
5,25
6,25
7,25
8,25
9,25
10,25
11,25
12,25
13,25
14,25
15,25
1,24
2,24
3,24
4,24
5,24
6,24
7,24
8,24
9,24
10,24
11,24
12,24
13,24
14,24
15,24
1,23
2,23
3,23
4,23
5,23
6,23
7,23
8,23
9,23
10,23
11,23
12,23
13,23
14,23
15,23
1,22
2,22
3,22
4,22
5,22
6,22
7,22
8,22
9,22
10,22
11,22
12,22
13,22
14,22
15,22
12,21
13,21
14,21
15,21
12,20
13,20
14,20
15,20
12,19
13,19
14,19
15,19
12,18
13,18
14,18
15,18
12,17
13,17
14,17
15,17
12,16
13,16
14,16
15,16
12,15
13,15
14,15
15,15
12,13
13,13
14,13
15,13
12,12
13,12
14,12
15,12
12,11
13,11
14,11
15,11
16,11
17,11
18,11
19,11
20,11
21,11
22,11
23,11
24,11
25,11
26,11
27,11
28,11
29,11
30,11
31,11
32,11
33,11
34,11
12,10
13,10
14,10
15,10
16,10
17,10
18,10
19,10
20,10
21,10
22,10
23,10
24,10
25,10
26,10
27,10
28,10
29,10
30,10
31,10
32,10
33,10
34,10
12,9
13,9
14,9
15,9
16,9
17,9
18,9
19,9
20,9
21,9
22,9
23,9
24,9
25,9
26,9
27,9
28,9
29,9
30,9
31,9
32,9
33,9
34,9
12,8
13,8
14,8
15,8
16,8
17,8
18,8
19,8
20,8
21,8
22,8
23,8
24,8
25,8
26,8
27,8
28,8
29,8
30,8
31,8
32,8
33,8
34,8
31,12
32,12
33,12
34,12
31,13
32,13
33,13
34,13
31,14
32,14
33,14
34,14
31,15
32,15
33,15
34,15
31,16
32,16
33,16
34,16
31,17
32,17
33,17
34,17
31,18
32,18
33,18
34,18
31,19
32,19
33,19
34,19
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
0,30
1,30
2,30
3,30
4,30
5,30
6,30
7,30
8,30
9,30
10,30
11,30
12,30
13,30
14,30
15,30
16,30
17,30
18,30
19,30
20,30
21,30
22,30
23,30
24,30
25,30
26,30
27,30
28,30
29,30
30,30
31,30
32,30
33,30
34,30
35,30
36,30
37,30
38,30
39,30
40,30
41,30
42,30
43,30
44,30
45,30
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
45,0
45,1
45,2
45,3
45,4
45,5
45,6
45,7
45,8
45,9
45,10
45,11
45,12
45,13
45,14
45,15
45,16
45,17
45,18
45,19
45,20
45,21
45,22
45,23
45,24
45,25
45,26
45,27
45,28
45,29
45,30
